购物距离注册时长	购物时是否咨询客服	是否团购	是否是新用户	是否直降	是否换购	是够满减	是否买赠	是够加价购	留存标签	咨询数量	同时购买同样物品数量
102	0	1	0	0	0	0	0	0	1	0	0
102	0	0	0	0	0	0	0	0	1	0	0
37	1	0	0	0	0	0	0	1	1	0	2
12	0	0	0	0	0	0	0	0	1	0	2
29	0	0	1	0	0	0	0	0	1	0	2
89	0	1	0	1	0	1	0	0	1	2	1
36	0	1	1	0	0	0	0	0	1	0	0
72	0	0	0	0	0	0	0	0	1	0	0
46	0	0	1	0	0	0	0	0	1	0	0
17	1	1	0	0	0	0	0	0	1	0	1
21	1	1	1	0	0	1	0	0	1	1	1
17	1	1	0	0	0	1	0	0	1	1	1
39	0	0	0	0	0	0	0	0	1	0	0
19	1	0	0	0	0	0	0	0	1	1	2
15	1	0	0	0	0	1	0	0	1	0	1
52	1	0	0	0	0	0	0	0	1	2	0
45	0	0	0	0	0	0	0	1	1	2	1
57	1	0	1	0	0	1	0	0	1	0	2
96	0	1	0	0	0	1	0	0	1	0	0
89	0	0	0	1	0	1	0	0	1	0	2
102	0	0	0	1	0	1	0	0	1	0	2
102	0	0	0	1	0	1	0	0	1	0	2
84	1	0	0	0	0	1	0	0	1	4	0
47	1	0	0	0	0	0	0	0	1	5	1
104	1	0	0	0	0	1	0	0	1	5	1
63	1	1	1	0	0	0	0	0	1	0	2
36	0	0	1	0	0	0	0	0	1	4	0
70	0	0	0	0	0	0	0	0	1	1	2
31	0	0	1	0	0	0	0	0	1	2	2
105	0	0	1	0	0	1	0	0	1	0	0
84	0	0	0	0	0	0	0	0	1	0	1
50	0	0	0	0	0	0	0	0	1	0	1
19	0	0	0	0	0	0	0	0	1	0	1
52	0	0	0	0	0	0	0	0	1	0	1
25	1	0	1	0	0	0	0	0	1	0	2
44	1	0	1	0	0	0	0	0	1	0	0
102	0	0	0	0	0	0	0	0	1	2	1
18	1	0	0	0	0	0	0	0	1	0	1
110	1	1	0	0	0	0	0	0	1	0	1
91	0	1	0	0	0	1	0	0	1	0	1
104	0	1	0	0	0	1	0	0	1	0	1
28	1	0	0	0	0	0	0	0	1	0	1
39	1	0	0	0	0	0	0	0	1	0	1
96	0	0	0	0	0	0	0	0	1	0	3
90	1	0	0	0	0	0	0	0	1	0	0
96	0	1	0	0	0	0	0	0	1	0	1
95	0	0	0	0	0	0	0	1	1	0	1
90	0	0	0	0	0	0	0	0	1	1	2
50	0	1	0	0	0	0	0	0	1	0	1
65	0	0	0	0	0	0	0	0	1	0	0
23	0	1	1	0	0	0	0	0	1	0	2
