sku_id,a1,a2,a3,cate,brand
10,3,1,1,8,489
100002,3,2,2,8,489
100003,1,-1,-1,8,30
100006,1,2,1,8,545
10001,-1,1,2,8,244
100016,3,-1,2,8,214
100029,3,2,2,8,214
10003,3,1,2,8,214
100045,2,2,2,8,124
100057,3,1,2,8,306
100069,1,2,-1,8,403
100076,3,2,1,8,214
100097,1,1,2,8,545
10011,3,1,1,8,214
100112,3,1,2,8,489
100117,-1,1,2,8,174
100119,2,1,2,8,812
100129,3,1,2,8,214
100134,3,1,2,8,214
100137,1,-1,1,8,403
100141,3,1,2,8,214
10015,2,1,1,8,124
100150,3,-1,-1,8,214
100152,3,1,-1,8,306
100154,3,1,1,8,489
100155,3,2,2,8,214
100172,3,1,1,8,214
100174,2,2,1,8,812
100177,3,2,1,8,489
100183,3,-1,2,8,489
100201,3,1,1,8,489
100209,3,1,2,8,214
100215,3,1,1,8,489
100253,2,2,2,8,124
100272,3,-1,2,8,489
100285,3,1,1,8,489
100290,3,1,2,8,214
100299,3,1,2,8,214
100302,3,1,2,8,214
10031,2,1,2,8,635
100310,3,2,-1,8,214
100312,3,2,1,8,489
100318,3,1,-1,8,306
100330,1,1,2,8,545
10034,2,1,1,8,635
100344,3,1,1,8,214
100351,1,-1,2,8,885
100353,3,-1,1,8,489
100356,3,1,1,8,214
100361,2,1,2,8,812
100362,1,-1,1,8,658
100364,3,1,2,8,214
10037,1,-1,2,8,658
100372,-1,-1,1,8,321
100377,3,1,1,8,214
10038,-1,1,-1,8,790
100390,-1,1,2,8,875
100392,3,1,1,8,489
100399,3,1,2,8,489
100405,1,1,2,8,30
100431,2,1,1,8,812
100434,2,1,2,8,124
100436,3,1,2,8,214
100439,2,1,2,8,124
100440,2,1,2,8,812
100444,3,-1,2,8,489
100450,3,1,2,8,489
100456,3,1,1,8,489
100457,1,1,2,8,545
100462,3,1,2,8,214
100465,3,1,2,8,489
100466,3,1,1,8,306
10047,3,-1,2,8,489
100486,-1,1,1,8,766
1005,1,1,2,8,800
10051,3,-1,2,8,489
100516,1,2,1,8,30
100521,3,1,2,8,214
100536,1,-1,-1,8,800
100555,2,1,2,8,812
100557,1,2,1,8,545
100565,3,1,2,8,214
100567,3,1,2,8,214
10057,-1,-1,1,8,321
100577,-1,1,1,8,321
10058,3,1,2,8,214
100582,1,1,1,8,693
100584,2,1,2,8,124
100585,3,2,2,8,214
100586,3,1,-1,8,306
100589,3,2,2,8,214
100595,3,1,1,8,489
100603,3,1,2,8,214
100608,1,1,1,8,30
100613,1,1,2,8,658
100616,1,1,1,8,30
100659,1,2,2,8,403
100672,3,1,1,8,214
100677,1,1,2,8,545
100688,3,2,1,8,214
10069,1,-1,2,8,545
100694,1,1,1,8,545
100724,2,1,2,8,623
100728,3,2,2,8,489
100734,3,1,1,8,214
100742,3,1,1,8,214
100743,2,1,2,8,623
100744,3,-1,2,8,214
100748,3,1,1,8,214
100762,3,2,2,8,214
100767,3,2,2,8,489
100770,3,1,2,8,571
100783,3,1,2,8,214
100785,-1,-1,1,8,556
100796,3,1,2,8,489
100797,-1,-1,1,8,801
100799,3,2,-1,8,214
100802,3,1,2,8,214
100803,3,1,2,8,214
100812,2,1,2,8,623
100814,3,2,2,8,489
100833,3,-1,2,8,214
100834,1,1,-1,8,885
100838,3,2,2,8,214
100846,3,2,2,8,489
100852,2,1,2,8,101
100855,3,1,2,8,214
100857,3,2,2,8,214
100868,3,-1,2,8,489
100869,3,2,2,8,214
100876,3,-1,-1,8,489
100881,3,2,1,8,489
100887,2,2,-1,8,623
10089,1,1,2,8,596
100893,3,2,2,8,214
1009,1,2,2,8,545
100902,3,-1,2,8,214
100906,3,1,2,8,214
100908,2,1,1,8,812
100914,3,2,2,8,214
100918,3,1,2,8,489
100922,3,1,2,8,214
100937,3,2,1,8,306
100940,3,1,1,8,214
100947,3,1,2,8,489
100950,1,1,2,8,800
100954,3,1,2,8,489
100961,3,1,1,8,489
100996,3,1,1,8,214
100999,-1,-1,1,8,605
101000,3,1,-1,8,489
101001,1,1,2,8,885
101006,3,1,2,8,489
101010,3,1,1,8,214
101017,2,2,2,8,623
101027,3,2,1,8,489
101040,3,1,2,8,489
101048,1,1,-1,8,403
101062,-1,2,-1,8,562
101063,1,1,1,8,545
101068,2,1,2,8,635
101083,1,2,2,8,885
101085,3,1,-1,8,489
101116,3,1,1,8,214
101120,1,1,2,8,427
101126,1,2,2,8,403
101128,3,1,2,8,489
101129,2,1,2,8,124
101133,1,1,1,8,403
101134,2,1,2,8,124
101138,3,2,2,8,489
10114,1,1,2,8,545
101144,3,1,1,8,214
101148,3,1,2,8,214
101156,3,2,2,8,214
101170,-1,2,1,8,673
101177,3,2,2,8,214
101181,1,1,1,8,800
101182,3,-1,-1,8,489
101185,3,2,2,8,214
101196,2,1,2,8,124
1012,2,1,1,8,812
101206,3,1,-1,8,489
101220,3,1,2,8,571
101229,3,1,1,8,214
101234,1,1,2,8,545
101249,3,1,1,8,214
10125,3,2,2,8,489
101259,2,1,2,8,623
10126,1,1,1,8,658
101261,3,2,2,8,489
101263,3,1,1,8,489
101269,3,1,2,8,214
101270,2,1,2,8,623
101284,3,2,-1,8,214
101290,3,-1,2,8,214
101292,-1,2,1,8,790
101293,3,1,1,8,214
101296,1,2,-1,8,885
101299,3,2,1,8,489
10130,2,1,2,8,812
101315,3,2,2,8,489
101318,1,1,1,8,545
101321,-1,1,2,8,556
101323,1,1,1,8,800
101325,-1,1,-1,8,200
10133,3,1,1,8,214
101344,3,2,2,8,489
101352,1,1,1,8,885
101367,2,1,1,8,812
101371,3,2,1,8,489
101375,2,1,2,8,812
101378,2,2,2,8,623
101384,3,1,2,8,214
101386,2,1,2,8,124
101397,3,1,1,8,489
101413,1,1,2,8,693
101417,1,2,1,8,693
101424,3,1,1,8,214
101429,3,1,2,8,214
101432,3,1,2,8,214
101443,3,1,2,8,214
101447,-1,-1,-1,8,91
101464,2,1,1,8,812
101479,3,2,2,8,214
101485,3,2,2,8,214
101486,3,2,2,8,214
101511,3,-1,-1,8,214
101513,3,1,2,8,214
101519,2,1,1,8,355
101520,3,-1,2,8,489
101521,3,1,-1,8,489
10153,2,-1,1,8,124
101531,2,2,1,8,124
101537,3,1,2,8,214
101539,2,2,2,8,812
10154,3,1,2,8,214
101545,1,2,2,8,800
101546,2,1,1,8,812
101548,2,2,-1,8,124
10155,1,1,2,8,545
101566,2,1,-1,8,812
101569,3,2,2,8,306
10157,2,-1,-1,8,623
101572,2,2,2,8,812
101576,3,1,2,8,489
101581,3,1,2,8,489
101583,3,1,-1,8,489
101598,-1,1,2,8,562
101599,3,-1,2,8,489
101600,3,1,2,8,489
101604,-1,1,1,8,801
101608,1,1,2,8,800
101612,3,1,2,8,214
101618,3,2,2,8,214
101622,3,1,2,8,489
101624,1,1,2,8,800
101638,1,2,2,8,30
101642,1,1,1,8,545
101648,2,1,2,8,812
101656,2,1,1,8,124
101658,3,-1,2,8,489
101664,1,1,2,8,693
101666,3,2,1,8,214
101670,3,2,-1,8,214
101672,-1,-1,1,8,605
101675,2,2,2,8,623
101679,1,-1,1,8,375
101682,1,-1,-1,8,693
101686,3,2,1,8,489
101689,1,1,2,8,800
10171,2,1,2,8,812
101713,1,1,2,8,885
101714,2,1,1,8,124
101728,1,2,2,8,885
101729,3,-1,1,8,214
101730,-1,-1,1,8,766
101731,2,2,-1,8,812
101737,2,1,2,8,124
101744,3,1,1,8,214
101750,2,1,2,8,124
101757,1,2,1,8,800
101763,1,1,2,8,885
101779,2,2,2,8,124
10178,1,2,1,8,800
10179,2,2,1,8,812
101802,3,2,2,8,214
101803,3,2,2,8,571
101810,3,1,1,8,489
101813,3,2,2,8,489
101814,2,1,1,8,124
101817,3,2,-1,8,489
101820,3,1,-1,8,489
101858,2,1,1,8,124
101868,2,1,2,8,812
101871,3,2,2,8,489
101875,2,1,2,8,812
101880,1,2,1,8,403
101896,2,1,2,8,655
101903,3,1,-1,8,214
101911,1,-1,1,8,800
101926,3,1,-1,8,214
101931,3,1,1,8,214
101932,3,2,2,8,214
101937,3,1,2,8,489
101940,2,1,2,8,812
101953,2,1,2,8,623
101957,-1,1,-1,8,244
10198,3,1,2,8,489
101984,3,-1,2,8,489
10199,3,2,1,8,214
101999,3,2,2,8,214
1020,3,2,1,8,214
102000,3,2,2,8,214
102002,3,2,1,8,214
102006,3,-1,1,8,489
102021,2,1,-1,8,623
102027,1,1,2,8,885
102039,3,2,1,8,571
102042,3,2,2,8,214
102053,1,2,-1,8,693
102054,3,1,1,8,214
102080,2,-1,-1,8,812
102090,3,1,2,8,214
102096,3,1,1,8,214
102098,3,2,2,8,214
102100,3,1,1,8,489
102102,3,1,2,8,489
102103,1,1,-1,8,30
102110,2,1,2,8,812
102111,3,2,2,8,489
102113,-1,1,1,8,916
102125,-1,2,1,8,70
102129,1,1,2,8,885
102130,3,2,1,8,489
102134,3,2,1,8,489
10214,1,2,1,8,545
102142,3,1,1,8,489
102158,3,1,2,8,489
102162,3,2,1,8,489
102171,3,-1,1,8,489
102172,1,-1,-1,8,693
102174,1,1,1,8,403
10218,2,1,1,8,635
102180,3,1,2,8,489
102186,3,-1,-1,8,214
102188,3,1,2,8,489
102204,2,1,2,8,812
102210,-1,1,2,8,556
102223,3,1,2,8,571
102225,1,1,2,8,800
10223,3,1,1,8,214
102230,3,1,2,8,214
102231,3,2,2,8,214
10224,3,2,2,8,214
102245,3,1,1,8,489
102247,3,1,2,8,214
102255,3,1,2,8,214
102258,2,1,1,8,635
102267,3,1,2,8,214
102271,3,2,1,8,489
102274,3,-1,2,8,489
102275,3,1,2,8,214
102280,3,1,2,8,489
102290,3,2,2,8,489
102291,3,2,1,8,489
102293,3,2,2,8,214
102300,3,2,1,8,214
102306,3,1,2,8,214
102309,3,1,2,8,214
102310,3,2,-1,8,306
102312,3,1,1,8,489
102320,2,1,2,8,655
102328,1,2,2,8,403
102342,3,1,1,8,489
102344,3,1,-1,8,489
102350,3,-1,1,8,214
102351,3,2,2,8,306
102377,3,1,2,8,214
102388,3,-1,2,8,214
10239,3,2,2,8,489
102403,3,2,2,8,214
102406,3,1,2,8,489
102414,3,1,2,8,489
102420,3,1,2,8,306
102428,3,1,2,8,489
102430,1,2,2,8,800
102456,3,1,-1,8,214
102459,3,1,2,8,489
10246,3,1,1,8,214
102460,1,1,2,8,30
102462,3,1,-1,8,489
10247,1,2,2,8,885
102474,3,-1,1,8,214
102482,3,1,-1,8,489
102484,1,1,2,8,545
102485,3,2,2,8,489
102498,3,2,1,8,214
102499,3,1,2,8,214
102506,3,-1,1,8,214
102519,3,1,1,8,214
102522,3,-1,-1,8,214
102526,3,1,2,8,214
102527,3,1,2,8,214
10253,3,-1,-1,8,214
102540,2,-1,-1,8,812
102542,3,1,1,8,214
102545,1,1,1,8,403
102569,1,1,2,8,800
102576,1,2,1,8,403
102577,3,1,1,8,306
102585,1,2,2,8,885
102605,3,2,1,8,214
102615,3,1,1,8,214
10263,2,1,2,8,804
102638,3,2,1,8,489
10264,1,1,2,8,885
102644,3,2,1,8,306
102646,3,1,2,8,489
102649,3,1,1,8,489
102651,3,-1,-1,8,489
102653,3,-1,1,8,489
102655,3,1,2,8,214
102658,3,2,2,8,489
102659,3,1,-1,8,214
102662,1,2,2,8,403
102666,3,-1,1,8,489
102675,2,2,2,8,623
102701,3,1,2,8,214
102708,3,2,1,8,214
102709,-1,1,2,8,561
10271,-1,2,1,8,766
102713,3,1,-1,8,214
102720,3,2,1,8,489
102728,2,1,2,8,124
102734,2,1,2,8,124
102737,2,1,2,8,812
102752,2,1,-1,8,812
102754,3,1,2,8,214
102774,3,2,1,8,214
102775,1,1,2,8,658
102779,3,1,-1,8,489
102791,2,1,2,8,812
102807,3,2,2,8,489
10281,-1,1,1,8,766
102811,3,1,1,8,214
102813,3,1,2,8,214
102815,2,-1,-1,8,623
102819,3,1,2,8,214
10282,3,1,1,8,489
102829,2,1,2,8,124
102838,3,2,2,8,489
10285,3,1,2,8,214
102854,2,1,2,8,623
