user_id,age,sex,user_lv_cd,user_reg_tm
200001,6.0,2.0,5,2016-01-26
200002,-1.0,0.0,1,2016-01-26
200003,4.0,1.0,4,2016-01-26
200004,-1.0,2.0,1,2016-01-26
200005,2.0,0.0,4,2016-01-26
200006,4.0,2.0,2,2013-04-10
200007,4.0,2.0,3,2016-01-26
200008,-1.0,2.0,3,2016-01-26
200009,4.0,2.0,2,2016-01-26
200010,4.0,2.0,3,2016-01-26
200011,-1.0,0.0,5,2013-04-10
200012,4.0,2.0,3,2013-04-10
200013,3.0,2.0,4,2013-04-10
200014,3.0,2.0,4,2013-04-10
200015,3.0,1.0,3,2016-01-26
200016,3.0,2.0,3,2016-01-26
200017,4.0,2.0,4,2016-01-26
200018,2.0,2.0,2,2016-01-26
200019,2.0,2.0,2,2016-01-26
200020,-1.0,2.0,2,2016-01-26
200021,3.0,2.0,2,2016-01-26
200022,3.0,0.0,5,2013-04-10
200023,4.0,2.0,4,2016-01-26
200024,4.0,2.0,3,2016-01-26
200025,5.0,2.0,3,2013-04-10
200026,3.0,2.0,2,2016-02-04
200027,3.0,1.0,5,2013-04-10
200028,2.0,2.0,4,2016-01-26
200029,-1.0,2.0,2,2016-01-26
200030,-1.0,2.0,2,2016-01-26
200031,4.0,2.0,3,2016-01-26
200032,4.0,2.0,4,2013-04-10
200033,4.0,2.0,5,2016-02-02
200034,3.0,2.0,4,2016-01-26
200035,4.0,2.0,3,2016-01-26
200036,3.0,2.0,4,2016-01-26
200037,3.0,2.0,5,2013-04-10
200038,3.0,0.0,5,2013-04-10
200039,2.0,2.0,3,2016-01-26
200040,4.0,2.0,2,2016-01-26
200041,2.0,2.0,3,2016-01-26
200042,4.0,2.0,2,2016-01-26
200043,4.0,2.0,3,2016-01-27
200044,4.0,2.0,3,2016-01-27
200045,3.0,2.0,5,2013-04-10
200046,4.0,2.0,3,2016-01-26
200047,2.0,0.0,4,2013-04-10
200048,4.0,2.0,2,2016-01-27
200049,4.0,2.0,3,2013-04-10
200050,3.0,2.0,3,2016-01-27
200051,4.0,2.0,2,2016-01-27
200052,-1.0,2.0,3,2013-04-10
200053,3.0,2.0,4,2013-04-10
200054,2.0,2.0,5,2013-04-10
200055,4.0,0.0,3,2016-01-27
200056,4.0,2.0,2,2016-01-27
200057,3.0,1.0,4,2013-04-10
200058,4.0,2.0,3,2013-04-10
200059,3.0,2.0,5,2013-04-10
