,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,收入,feature49,feature50
feature1,1.0,0.39734884284414107,0.8806873868538045,0.1398360659887109,0.07592602884267324,0.03481206118388387,0.11751027847871229,0.16179938652011636,0.17663695242283356,0.4300385030973213,0.4169329159884842,0.0489241569878909,0.029169605315438947,-0.006141022565635921,0.007678718051150924,0.04539500058732305,0.09295144943010479,0.17591703936672437,0.1108446208641569,0.007678718051150924,0.011198412998394568,0.4708311765644298,0.5529243045501934,0.535186125980555,0.4593042562979686,0.537901852645615,0.6583465277774961,0.6616984364814988,0.6617221164847195,0.23183986603551143,0.13722353133340068,0.20571214792434267,0.2975846097903417,-0.01798619082330395,-0.04791669286271311,-0.029439413282372606,-0.07118271809667223,-0.05350167141450239,0.13562294152120077,0.13091324734280593,0.1990480923602918,0.21466477208014867,0.27410411454829686,0.3998431362125409,0.39911598357587613,0.018223810784918137,0.3594709128578363,0.1120936704377559,0.11328552716764517,0.16763354900454489,0.146433810633549
feature2,0.39734884284414107,1.0,0.06888999985638584,0.07240403461261664,-0.13463337876331993,-0.0040437464841184215,0.11346932636406903,0.030916024030193227,-0.011862481259863113,0.08114334111324897,0.0819683494030453,0.019736409494089637,-0.008893976714479796,-0.014522951863847073,-0.0047849284592393565,-0.01172618168485679,-0.003105633648691717,0.021011405814690555,-0.009212150355493675,-0.0047849284592393565,-0.0036545367812821222,0.038919607827602606,0.03655924961121239,0.02725468527358087,0.031522752129694014,0.1806041454535867,0.22151053131555412,0.22578170557714222,0.22573250171553447,-0.02586602538422861,0.001099995943086944,0.008812946580973821,-0.04525667200399672,0.001393638197643831,-0.002574060051332668,-5.522229090494284e-05,0.002869056249997121,0.009385807939251275,0.07674847609066121,0.020969292573642263,0.00290791969619372,-0.002277369924615794,0.04252489942389445,0.14667611243285925,0.15072577397138684,-0.001558680838804221,0.008787771854534452,0.03502495002828036,0.030979109193191967,-0.03981466753805141,-0.010297054756326446
feature3,0.8806873868538045,0.06888999985638584,1.0,0.11425506070393414,0.14886807802743046,0.04515099101537622,0.08614675392443952,0.1760603485066066,0.21279152059316886,0.4132550001192468,0.397414811372362,0.07243450518963519,0.04032714367268047,-0.00042303467968656726,0.0036744649558753326,0.053524927666993766,0.0819914562500096,0.13728354574271875,0.06264637949281883,0.0036744649558753326,-0.02800661083889958,0.46004141317378316,0.5571308259592933,0.5432853212399325,0.44610349959042034,0.48755589325101956,0.598281013771497,0.6007437561337924,0.6007991549686386,0.24730193713428159,0.1540151750823395,0.2230227900448483,0.3360013833951776,-0.014832663546053771,-0.04333232265228841,-0.02528261939857268,-0.06201943797223445,-0.05544354906505991,0.11961676824121696,0.13008041929354344,0.2264214025303683,0.22939495373719063,0.28046830760433417,0.36595580734949645,0.3580764781144229,0.01136432748100475,0.40912370016359917,0.10530013179444289,0.11215372326992527,0.18846665093850806,0.16432416347699738
feature4,0.1398360659887109,0.07240403461261664,0.11425506070393414,1.0,-0.009964131199256177,0.001995389597572029,-0.023627399670262925,-0.06731704946156393,-0.05694113035617321,-0.05024868878858472,0.004465588348183166,-0.011307687946739205,-0.0025039748850182756,-0.003845409121810745,-0.004095752765346513,0.003293766238166861,0.01622001294449405,0.022910077025611007,0.021251414213990717,-0.004095752765346513,0.002183474535698603,0.043241286056130576,0.07653257700581992,0.07754642907181152,0.04391145546666587,0.04989333793913315,0.09146863712791142,0.09234524085981756,0.09230588940472072,0.024528592934535548,0.014572018426971667,0.057762774644947994,0.05572442142047935,-0.0002852592077135297,0.015537146848163045,0.023580577090173124,-0.004798145312757548,-0.0003611297617477763,0.03776857594204307,0.045046430081878,0.07015027320535687,0.058063050938566334,0.059511616895451716,0.045677333514446444,0.05629422126960582,0.014951343257496865,0.02688616729427157,0.01240985599539957,0.004818651886838333,0.01950246637174481,0.029983709102124154
feature5,0.07592602884267324,-0.13463337876331993,0.14886807802743046,-0.009964131199256177,1.0,0.06614988323456916,0.14922427592174067,0.19632630202598747,0.22152848630061467,0.23960379423530143,0.21545658216388514,0.08641919344843628,0.0548799699908445,0.05075522322339598,-0.014045895400874782,0.02930851197991074,-0.05296879167088174,-0.12379579459770819,-0.07702575406387256,-0.014045895400874782,-0.03310986343118712,-0.04854569258557966,0.04968238399073231,0.05819008549670879,-0.049189850174175036,-0.11611306997108883,-0.019270304994715187,-0.022068556182546814,-0.021792363652215756,-0.05750250810004421,-0.14426087550254799,-0.017774833006511,0.08364343489793022,-0.003528061769751492,-0.038047073620408836,-0.020178373990800913,-0.038936709872618616,-0.025748938478217628,-0.03710005917891717,-0.004194001445926943,-0.002895996642794492,0.0492407693694548,0.011273633007972262,0.021317037572604957,0.019658715344768114,0.002042473919776295,0.2829616844874595,0.03808171874457661,0.03439120002475264,0.0653883281435816,0.019227509340368428
feature6,0.03481206118388387,-0.0040437464841184215,0.04515099101537622,0.001995389597572029,0.06614988323456916,1.0,0.026836136601304503,0.04120259754344389,0.07727320396859043,0.0755676155976872,0.06280310289549922,0.04069157792898861,0.05198158961255523,0.014142156148302613,-0.0038429359979759415,-0.002450461997502968,-0.014492182269042553,-0.03387034445864982,-0.021074131240141823,-0.0038429359979759415,-0.009058809170677383,-0.0012140592509386943,0.03819242960446244,0.04087638002132019,-0.004385706703687206,-0.009282933064172584,0.03944570488223924,0.0399654024539169,0.039938199061430396,-0.004220959204660396,-0.016030461818445703,0.0537683270967684,0.0547099105532377,0.0019709413215024466,-0.01859247964692091,-0.006937182343906619,-0.023496201801995104,-0.01637251767700585,0.03120288831276904,0.02133389870708948,0.051479628452903235,0.03780023753065544,0.028777463964675995,0.023219522349455936,0.010938920846186265,-0.0016947126756856237,0.06856873614789673,0.010145905408580166,0.018336155735422615,0.07663607580577819,0.021454321675435255
feature7,0.11751027847871229,0.11346932636406903,0.08614675392443952,-0.023627399670262925,0.14922427592174067,0.026836136601304503,1.0,0.8426963537401514,0.6708669058710344,0.3452410779219608,0.2908494889300242,0.2222346216890241,0.02531300407715889,-0.0011343835830648764,-0.016955138087494225,-0.016456450158350237,-0.07567575236627708,-0.16301634019212105,-0.08966619022704811,-0.016955138087494225,-0.04157346723868974,-0.13680997111557686,-0.0803698804756076,-0.0718316060132922,-0.13714694338067365,-0.2360148341877956,-0.1896701335356869,-0.18805532763994728,-0.18807346341565,-0.15504616184141679,-0.29290384785549217,-0.2823441731075685,-0.07220686947631105,-0.008484675077709631,-0.06979143433725958,-0.030700184414800515,-0.03274427396434926,-0.026986797914169837,-0.1676884147851829,-0.09739823753221676,-0.2766599792621892,-0.07872406240166918,-0.12997252677811108,0.057723517158805804,0.046675461003226094,-0.0458093954357038,0.45758327495891443,0.09426509084875158,0.10257712590863197,-0.048678032054049934,-0.05221885368284319
feature8,0.16179938652011636,0.030916024030193227,0.1760603485066066,-0.06731704946156393,0.19632630202598747,0.04120259754344389,0.8426963537401514,1.0,0.8409895687560814,0.5682406345901873,0.4302451172376463,0.23270679118247065,0.03937807648648923,0.004781385218663736,-0.01292403433475126,-0.0041227097777448325,-0.06450956129487215,-0.13892970800090593,-0.07204004850408437,-0.01292403433475126,-0.03679863777296163,-0.08447922153880426,-0.009145320451887597,-0.00176071110777994,-0.08612052743141489,-0.186832759088689,-0.12369915281239266,-0.12266952228926528,-0.12267373195319956,-0.0938872611566721,-0.2316683886691622,-0.18695489322764555,0.018557034181307556,-0.006706884558883939,-0.07074771072964088,-0.040131517162193146,-0.024801409427575048,-0.043740561479059935,-0.13392318263468792,-0.06557692243687809,-0.18123863093362985,-0.033034231689858425,-0.07607571383103934,0.09074106539663439,0.07350389152716495,-0.04232592726392342,0.643119278404295,0.11019442385324595,0.12913221437534056,-0.0033016648124548067,-0.009079761657336665
feature9,0.17663695242283356,-0.011862481259863113,0.21279152059316886,-0.05694113035617321,0.22152848630061467,0.07727320396859043,0.6708669058710344,0.8409895687560814,1.0,0.5678559068997964,0.573693755280179,0.2156552755939113,0.07098088652067973,0.02439270134197489,-0.013638731696944652,0.002600865875778934,-0.0502307008440784,-0.12057453827295131,-0.06653364858624101,-0.013638731696944652,-0.03201342038994019,-0.023039619812665935,0.07536330849868066,0.08522208509426112,-0.020171047699372155,-0.1244299105637569,-0.03795532454860971,-0.03746312846177873,-0.03747510578101117,-0.013269290457185981,-0.14848412066744654,-0.05430523363867562,0.12771179405474292,-0.008191197145070562,-0.05099308086938556,-0.03279430825500569,-0.019851254645474777,-0.0459375878475931,-0.08143967471700811,-0.031016011490760772,-0.054713737414341705,0.029214186443146686,-0.0019084576996531446,0.07119942233803103,0.056128939726796216,-0.022410384469598036,0.5904085424304736,0.0793496874013631,0.09793781936902517,0.06249655743311431,0.043614401497631634
feature10,0.4300385030973213,0.08114334111324897,0.4132550001192468,-0.05024868878858472,0.23960379423530143,0.0755676155976872,0.3452410779219608,0.5682406345901873,0.5678559068997964,1.0,0.761334136127624,0.17207742028115414,0.05731026047449077,0.014414613005706201,0.01985646620236548,0.0433106471247066,0.020321248871762534,0.04372087168993254,0.09586624382555455,0.01985646620236548,0.03758259374730648,0.12101957828187064,0.24239845045092476,0.24423146802304255,0.12248597309692465,0.043460364830655844,0.19229615690272303,0.18826831328190913,0.18834024167374758,0.09837815820626306,-0.045452507067868096,0.14979858515506017,0.2703946168504954,-0.02033566160748054,-0.08648092592861222,-0.055555413630891434,-0.09262706878395331,-0.09444028817756354,0.030573003721780487,0.06412688157953418,0.1492151883098535,0.12194714391012716,0.12426290008344251,0.17696125540314053,0.1697750406995895,-0.003959839604530534,0.7384683019826026,0.15343325050124162,0.1662586626517565,0.12540021821776104,0.10390607919798187
