feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24	feature25	feature26	feature27	feature28	feature29	feature30	feature31	feature32	feature33	feature34	feature35	feature36	feature37	feature38	feature39	feature40	feature41	feature42	feature43	feature44	feature45	feature46	feature47	feature48	收入	feature49	feature50
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	41	3	19	13	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	100	1	1	0	5	1	0	16	5	0	1	0	7	230	1	9	16	0	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	100	1	1	0	7	1	0	16	28	0	16	6	0	0	1	6	32	0	0	0	0	0	0	1	308
2	0	2	0	2	0	5	5	2	1	0	0	0	0	0	0	0	0	0	0	0	5	1	99	4	10	200	2	2	4	5	1	99	16	1	0	4	0	2	210	1	5	27	158	135	0	7800	67.5	79.16	4	355
3	0	3	0	0	0	4	4	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	17	300	3	3	0	6	1	0	14	4	0	23	4	0	0	1	1	8	401	120	0	8400	40	133.71	0	0
4	1	4	0	0	0	1	1	0	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	79	400	4	4	0	20	1	0	14	4	0	23	4	1	7	1	0	15	483	135	0	6525	33.75	120.68	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	200	2	2	0	5	1	0	14	8	1	18	2	0	0	1	11	18	0	0	3	0	0	0	0	0
1	0	1	0	0	0	3	3	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	200	2	2	0	3	1	0	13	10	0	31	1	0	0	1	10	21	48	45	0	7800	45	48.06	0	0
2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	31	3	15	6	0	0	0	0	0	17	15	0	300	7.5	8.63	0	0
